Titre,Date de publication,URL,Contenu,sentiment_finbert,sentiment_label,sentiment_score,sentiment_numerique
LVMH to Take 80% Stake in German Luggage Brand Rimowa (Published 2016) - The New York Times,"Tue, 04 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTYvMTAvMDUvYnVzaW5lc3MvZGVhbGJvb2svbHZtaC1yaW1vd2EtbHV4dXJ5LWx1Z2dhZ2UuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"The transaction would be LVMH’s first acquisition of a German purveyor of luxury goods.

“Rimowa is a brand with a unique heritage,” Bernard Arnault, the LVMH chairman and chief executive, said in a news release. “We share with Dieter Morszeck the same passion for innovation and a common desire to offer very high-quality products derived from a European tradition of craftsmanship.”

Image Bernard Arnault, the LVMH chairman and chief executive, in Paris on Sunday. Credit... Patrick Kovarik/Agence France-Presse — Getty Images

The transaction is subject to regulatory approval and is expected to be completed in January.

Founded in Cologne in 1898, Rimowa manufactures luggage and small leather accessories for men and women. It is best known for its aluminum, grooved suitcases. The company expects to report revenue of more than €400 million in 2016, LVMH said.

In a note to investors, Luca Solca, head of luxury goods analysis at Exane BNP Paribas, said the deal made sense for the French company.

“While not a widely expected acquisition, it gives LVMH greater exposure to the continuing development of tourism and the traveling consumer,” Mr. Solca wrote. “Rimowa is the only high-end brand remaining in the market, after the acquisition of Tumi by Samsonite.”

The appointment of Alexandre Arnault as co-chief executive also marks the latest scion of the Arnault family to take a senior leadership role within LVMH since Bernard Arnault became chief executive, chairman and majority shareholder of the conglomerate in 1989.","{'label': 'Neutral', 'score': 0.9999548196792603}",neutral,0.9999548196792603,0
LVMH says no way will do business with Amazon - Business Insider,"Tue, 11 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vci1sdm1oLXNheXMtbm8td2F5LXdpbGwtZG8tYnVzaW5lc3Mtd2l0aC1hbWF6b24tMjAxNi0xMNIBW2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vci1sdm1oLXNheXMtbm8td2F5LXdpbGwtZG8tYnVzaW5lc3Mtd2l0aC1hbWF6b24tMjAxNi0xMD9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"By Astrid Wendlandt

(Reuters) - Luxury goods group LVMH said there was ""no way"" it would do business with Amazon even though the Internet retailer was keen to take on more high-end brands.

Amazon currently sells mostly so-called ""accessible luxury"" brands such as Michael Kors, Calvin Klein and Kate Spade, but LVMH said it did not think it was an appropriate platform for its luxury brands.

This story is available exclusively to Business Insider subscribers. Become an Insider and start reading now.

The logo of French luxury group LVMH is seen at the company headquarters in Paris Thomson Reuters

""We believe the business of Amazon does not fit with LVMH full stop and it does not fit with our brands,"" LVMH Chief Financial Officer Jean-Jacques Guiony told investors in a conference call on Tuesday, after the group announced unexpectedly robust quarterly sales.

""There is no way we can do business with them for the time being.""

Advertisement

Amazon has been growing its fashion, jewelry and watch retailing in recent years but failed to attract heavyweight luxury brands as they are concerned the U.S. retailer's product presentation and discounts could damage their image.

LVMH and other luxury goods groups such as Chanel and Richemont fought hard to obtain the right from the European Commission in 2010 to refuse partnering with certain websites, citing worries about pricing and counterfeits.

Related stories

LVMH's shares jumped by as much as 5.7 percent on Tuesday after the group reported much higher than expected third-quarter sales late on Monday, driven by strong trading at its flagship Louis Vuitton brand and revived demand from Chinese customers at home and abroad.

LVMH's sales figures boosted investor sentiment toward the luxury sector, which has been relatively bearish in recent months, and lifted shares of peers such as Richemont, which gained more than 3 percent on Tuesday, and Kering , up 2 percent.

Advertisement

There is concern that tourists will stay away from major European luxury markets in the near future following recent attacks, while an uncertain global economic outlook could also keep demand subdued.

However, the group behind fashion brands Fendi, Dior and Guerlain perfume, said sales in mainland China had improved to ""mid teens"" in the third quarter from ""mid single digits"" in the first half. ""The Chinese customer (who represents one third of LVMH sales) is doing very well,"" Guiony told investors.

Without the negative impact of phasing out the Donna Karan brand, organic growth at the group's all-important fashion and leather unit would have been more than 7 percent, rather than the 5 percent reported, Guiony told investors.

LVMH's leading jewelry brand Bulgari had seen growth slow down as 2015 had been a bumper year, he said.

Advertisement

LVMH shares, which have now risen more than 14 percent this year, closed 4.5 percent higher valuing the group at 80.2 billion euros.

(Reporting by Paris Newsroom; Editing by Susan Fenton)","{'label': 'Negative', 'score': 0.9546494483947754}",negative,0.9546494483947754,-1
Ian Rogers | BoF 500 | The People Shaping the Global Fashion Industry - The Business of Fashion,"Tue, 04 Oct 2016 06:54:14 GMT",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmJ1c2luZXNzb2ZmYXNoaW9uLmNvbS9jb21tdW5pdHkvcGVvcGxlL2lhbi1yb2dlcnPSAUFodHRwczovL3d3dy5idXNpbmVzc29mZmFzaGlvbi5jb20vYW1wL2NvbW11bml0eS9wZW9wbGUvaWFuLXJvZ2Vycw?oc=5&hl=en-US&gl=US&ceid=US:en,"Reversing the trend of top fashion executives being poached by Apple, in 2015 LVMH appointed the technology company’s former senior director of iTunes to the newly created position of chief digital officer. The appointment gave digital a seat at the top table of the world’s largest luxury conglomerate for the first time.

Prior to joining LVMH, Rogers carved out an impressive career in the music tech industry, helping music businesses make the transition to online. He began whilst still a computer student at Indiana University in 1993, when he was tapped to run the website for hip-hop group The Beastie Boys. In the early 2000s, Rogers spent nearly five years running a music service owned by Yahoo, before being named chief executive of Topspin Media — a platform that connected artists directly to their fans via the internet — in 2008.

In 2013, he joined music streaming service Beats Music as chief executive. Rogers arrived at Apple in 2014 after the company’s $3 billion acquisition of Beats Music and headphone maker Beats Electronics. As senior director of Apple Music, Rogers spearheaded Apple’s foray into music streaming services and was also instrumental in the creation of online radio station Beats 1, which poached former BBC Radio One DJ Zane Lowe and famously featured Elton John, Dr. Dre and Pharrell Williams as guest announcers. However, Rogers departed Apple just two months after the launch of Apple Music, announcing his new position at LVMH shortly after.

Rogers jumped ship to LVMH with the intention of developing the conglomerate’s online retail presence — a move many competing luxury players have interpreted as a signal to step up their own digital and e-commerce strategies. In a statement made at the time, LVMH chairman and chief executive Bernard Arnault said he hoped Rogers would help “explore new opportunities for the group in the digital sphere” — a space high fashion brands have been notoriously slow to tap.

In July 2018, Rogers spearheaded the LVMH Lab at Paris’ new Viva Technology show, bringing together almost 50 start-ups to the luxury sector.

In October 2020, Rogers left his position as chief digital officer at LVMH after 5 years. He remained as an advisor at LVMH and continues to host their innovation prize. He joined French crypotocurrency start-up, Ledger.","{'label': 'Neutral', 'score': 0.9999819993972778}",neutral,0.9999819993972778,0
LVMH Buys Rimowa Luggage Brand - WWD,"Tue, 04 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3dkLmNvbS9idXNpbmVzcy1uZXdzL21lcmdlcnMtYWNxdWlzaXRpb25zL2x2bWgtYnV5cy1zdGFrZS1yaW1vd2EtMTA2MTc2MTMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"PARIS — Artist collaborations, digital features and a push into the U.S. are among probable new growth avenues for elite luggage maker Rimowa in the wake of its acquisition by LVMH Moët Hennessy Louis Vuitton.

Investors smiled on the deal, which values the German firm at 640 million euros, or $719 million. Shares in LVMH, which took an 80 percent stake in the family-controlled luggage firm, rose 3 percent on Tuesday to close at 156.60 euros, or $175.39.

The deal thrusts LVMH into the robust travel sector — and LVMH chairman and chief executive officer Bernard Arnault’s 24-year-old son Alexandre into his first executive role.

He is to move to Cologne and become co-chief executive officer alongside Dieter Morszeck upon completion of the deal, expected in January.

“It has all the values of LVMH — a strong link to craftsmanship, quality and a strong link to innovation,” Alexandre Arnault said. “We have the exact same DNA, the same values and the same spirit.”

An engineering student, Arnault recently completed his studies, including a master’s degree in innovation at the elite Paris school Polytechnique. He also studied computer science at Télécom ParisTech.

He spent half his time getting acclimated to the family business, devoted mainly to missions alongside Ian Rogers, LVMH’s chief digital officer. Earlier this year, he spent six months at Fendi with its ceo, Pietro Beccari.

The luxury scion recounted how his personal appreciation for Rimowa prompted him to write to Morszeck, grandson of the founder, about two years ago, just to introduce himself.

An invitation to tour Rimowa’s headquarters — and production facilities in Germany, Czech Republic and Canada — followed, and was reciprocated as Arnault guided Morszeck through Louis Vuitton’s leather workshops in Asnières-sur-Seine, near Paris, and in the Drôme region.

Not long after, Morszeck proposed that LVMH invest in the company, telling Arnault he had earned his trust and considered the French luxury group the best partner to help Rimowa reach its full potential.

The transaction mirrors LVMH’s 2013 investment in Loro Piana, another family-controlled firm.

Arnault related that his father and other members of his family shared his enthusiasm for Rimowa, renowned for its sleek and lightweight suitcases and a string of innovations and patents.

“I’m very passionate about the product itself, and I’m attracted to the fact that Rimowa, like LVMH, is an entrepreneurial business,” he explained.

Founded in 1898, Rimowa is credited with launching the first suitcases in aluminum and polycarbonate, in 1937 and 2000, respectively. Four-wheel designs and waterproofing are other breakthroughs.

More recently it introduced a case with an electronic tag that links it to a smartphone via Bluetooth, simplifying the check-in process.

Arnault said further digital innovations, collaborations and new materials would fan Rimowa’s leadership.

While acknowledging the brand’s popularity among the fashion crowd — as anyone who’s waited at an airport carousel during fashion weeks in Europe can attest — he said “we are not going to become a fashion company. But we see this trend and we’re going to capitalize on it.”

Well-known in Germany and Asia and identifiable by its grooved sides, Rimowa still harbors “a lot of potential in the U.S. and the rest of Europe,” Arnault said.

For example, the brand operates only four stores in America: New York, Miami, Boston and Los Angeles.

In June, it opened a unit on New Bond Street in London opposite Louis Vuitton, and later this year it will open a boutique on Rue du Faubourg Saint-Honoré in Paris facing the Bristol hotel.

Rimowa counts about 150 stores and is expected to generate revenues this year of more than 400 million euros, or $450 million. In 1980, Rimowa’s revenues were estimated at 3 million euros. It is understood the brand has outperformed the luggage market over the last decade.

It is the first German company to be acquired by LVMH, parent of such brands as Fendi, Marc Jacobs, Givenchy, Kenzo, Bulgari, Tag Heuer, Guerlain, Dom Perignon and Sephora.

“By entrusting this family venture to the LVMH Group, we are guaranteeing a promising future to all Rimowa employees,” said Morszeck, who has been with the company 44 years.

He expressed confidence in Alexandre Arnault’s ability “to accelerate the development of the business by my side.”

The company employs about 3,000 people worldwide and produces mainly in Germany, where artisans manually hammer into shape the aluminum cases.

According to LVMH, the global luggage market has been growing about 5 percent a year for five years, fueled by the surge in Asian travelers.

The number of Chinese outbound travelers is expected to increase by almost 50 percent over the next four years, according to the World Travel & Tourism Council.","{'label': 'Neutral', 'score': 0.9999945163726807}",neutral,0.9999945163726807,0
LVMH buys an 80% stake in Rimowa for $717 million - Business Insider,"Tue, 04 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vbHZtaC1idXlzLXJpbW93YS1mb3ItNzE3LW1pbGxpb24tMjAxNi0xMNIBTGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vbHZtaC1idXlzLXJpbW93YS1mb3ItNzE3LW1pbGxpb24tMjAxNi0xMD9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"Rimowa suitcases at the opening of the company's Boston store in June. Getty/Darren McCollester

Luxury goods conglomerate LVMH Moët Hennessy Louis Vuitton has agreed to purchase an 80% stake in German suitcase maker Rimowa for €640 million, or about $717 million, according to a press release.

Advertisement

Rimowa, famous for its ribbed aluminum suitcases, is a favorite of celebrities around the world, including Martha Stewart, Kanye West, Kim Kardashian, Will.i.am, Gwyneth Paltrow, and Kate Upton.

Started in Cologne, Germany, it created the first aluminum case in 1937 and the first lightweight polycarbonate case in 2000, according to the BBC.

""Rimowa is a brand with a unique heritage,"" Bernard Arnault, CEO and chairman of LVMH, said in the release. ""We share with [Rimowa CEO] Dieter Morszeck the same passion for innovation and a common desire to offer very high-quality products derived from a European tradition of craftsmanship.""

Related stories

The cheapest of Rimowa's offerings cost about $400, but larger cases can reach over $1,000, which is still significantly less than a comparably sized Louis Vuitton-branded case. The polycarbonate suitcases come in a range of colors from dark green to bright red, while the aluminum models come in different shades of silver and beige. Recent models of the bags are equipped with Bluetooth connections and electronic tags that let travelers check in their bags at home, then skip the line once they get to the airport.

Advertisement

Rimowa suitcases in its Boston store. Darren McCollester/Getty Images for RIMOWA

A LVMH spokesperson told The New York Times that it expects to hit about $450 million in revenue this year. Rimowa now has 140 stores around the world.

Arnault is installing Alexandre, his 24-year-old son, as co-CEO of the brand along with Morszeck, the grandson of Rimowa's original founder. Morszeck will keep the remaining 20% stake in the company, according to the Times. Rimowa will be added to LVMH's stable of luxury brands, which includes Tag Heuer, Givenchy, Dior, Moët & Chandon, Marc Jacobs, and Sephora.

This solidifies LVMH as the second-largest luggage maker, with about 6.5% of the global market, according to Euromonitor via Bloomberg. Samsonite, which acquired luxury brand Tumi earlier in 2016, still has the lion's share with about 17%.","{'label': 'Neutral', 'score': 0.9999988079071045}",neutral,0.9999988079071045,0
LVMH buys 80 percent of German luggage group Rimowa - CNBC,"Tue, 04 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMTYvMTAvMDQvbHZtaC1idXlzLTgwLXBlcmNlbnQtb2YtZ2VybWFuLWx1Z2dhZ2UtZ3JvdXAtcmltb3dhLmh0bWzSAVxodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAxNi8xMC8wNC9sdm1oLWJ1eXMtODAtcGVyY2VudC1vZi1nZXJtYW4tbHVnZ2FnZS1ncm91cC1yaW1vd2EuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en,"French luxury group LVMH, owner of the Louis Vuitton brand, has agreed to buy an 80 percent stake in German high-tech luggage maker Rimowa for 640 million euros ($716 million).



The transaction, LVMH's first acquisition in Germany, must be approved by competition authorities. It is due to be completed in January 2017, the statement said.

Founded in Cologne in 1898, luggage and leather goods maker Rimowa expects a 2016 revenue of over 400 million euros.

LVMH is buying the stake from Dieter Morszeck, grandson of the founder of Rimowa, who will retain a stake in the business and maintain his leadership functions.

Alexandre Arnault, one of the sons of LVMH boss Bernard Arnault, will become co-chief executive alongside Morszeck.

Rimowa is known for making the first aluminum flight case in 1937 and the first lightweight polycarbonate suitcase in 2000.

It recently joined forces with Lufthansa to launch the Rimowa Electronic Tag. This feature simplifies baggage check-in by matching, with the use of a smartphone, the boarding card with a Bluetooth electronic tag integrated within Rimowa suitcases.","{'label': 'Neutral', 'score': 0.9999821186065674}",neutral,0.9999821186065674,0
"Cosmetics sales increase 8% at LVMH, outperforming fashion - Cosmetics Business","Tue, 11 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vY29zbWV0aWNzYnVzaW5lc3MuY29tL2Nvc21ldGljcy1zYWxlcy1pbmNyZWFzZS04LWF0LWx2bWgtb3V0cGVyZm9ybWluZy1mYXNoaW9uLTEyMTk2NdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"LVMH has released financial reports for the first nine months of 2016, showing a 4% increase in revenue to €26.3bn.

Organic sales of perfumes and cosmetics increased 8% compared to the same period in 2015, outperforming fashion and leather which grew at a rate of 2%. Perfume and cosmetics was the group’s strongest division.

LVMH will rely on the power of its brands and the talent of its teams to further extend its global leadership in the luxury market in 2016.”

Louis Vuitton’s freshly launched range of seven fragrances by Jacques Cavallier Belletrud were said to have made “a very promising start”.

Elsewhere, Parfums Christian Dior continued its strong sales progress, boosted by its iconic fragrances as well as the newer Savage.

Kat Von D, Benefit and Make Up Forever were all said to have delivered an “excellent performance”, while Guerlain expanded its perfume brand, La Petite Robe Noire, into make-up.

New fragrance Kenzo World was also said to be a success.

In retail, Sephora has gained market share in all of its markets and recorded double-digit revenue growth. This was helped by online sales which increased in all regions and new stores.

Sales in Asia improved significantly, aside from in Japan. The company also performed well in Europe and the US, with the exception of France where reduced levels of tourism have dented sales this year.

Looking ahead, LVMH was positive about its outlook despite what it called “an uncertain geopolitical and currency environment”. It plans to expand in “the most promising markets” and is focusing on innovation.

In a statement, the company said: “LVMH will rely on the power of its brands and the talent of its teams to further extend its global leadership in the luxury market in 2016.”","{'label': 'Positive', 'score': 1.0}",positive,1.0,1
LVMH bags German luggage firm Rimowa - BBC.com,"Tue, 04 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy0zNzU0OTE1N9IBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy0zNzU0OTE1Ny5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"Exane BNP Paribas analyst Luca Solca said the deal ""follows the acquisition of Tumi by Samsonite, removing the only other meaningful high-end luggage brand from the market. Luggage should be favoured by the continuing development of tourism.""","{'label': 'Neutral', 'score': 0.9984328150749207}",neutral,0.9984328150749207,0
LVMH acquires 80% stake in luggage and leather goods maker Rimowa - The Moodie Davitt Report,"Tue, 04 Oct 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vbW9vZGllZGF2aXR0cmVwb3J0LmNvbS9sdm1oLWFjcXVpcmVzLTgwLXN0YWtlLWluLWx1Z2dhZ2UtYW5kLWxlYXRoZXItZ29vZHMtbWFrZXItcmltb3dhL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"The LVMH Group has acquired a majority stake in German luggage and leather goods maker Rimowa.

The transaction, for 80% of Rimowa shares, is worth €640 million and is due to complete in January 2017. It is subject to the approval of competition authorities.

Dieter Morszeck, grandson of Rimowa founder Paul Morszeck, will continue to hold equity in the business and will maintain his leadership functions. Upon completion of the transaction, Alexandre Arnault will be appointed co-CEO of Rimowa.

Rimowa was founded in Cologne in 1898 and becomes the first German maison of the LVMH Group.

“My grandfather founded Rimowa more than a century ago and I joined the company 44 years ago,” said Dieter Morszeck. “By entrusting this family venture to the LVMH Group, we are guaranteeing a promising future to all Rimowa employees.

“Over the past two years I have had the opportunity to establish close ties with the Arnault family, and in particular with Alexandre. Alexandre and I have discussed at length the attractive development prospects available to us and the common values that we share. I am delighted that he is joining Rimowa and I have full confidence in his ability to accelerate the development of the business by my side.”

Alexandre Arnault commented: “Rimowa is a superb business which I have followed as a loyal customer for many years. Rimowa has revolutionised the luggage industry for over a century, its suitcases are renowned for their unique performance, quality and design. I am honoured to join Rimowa and to be working alongside Dieter.”

Bernard Arnault said: “Rimowa is a brand with a unique heritage. We share with Dieter Morszeck the same passion for innovation and a common desire to offer very high-quality products derived from a European tradition of craftsmanship. What’s more, it brings me great pleasure that Rimowa will be the first German house to join the LVMH Group.”

Morszeck has also created the Rimowa Dieter Morszeck Foundation to which a part of the sale proceeds will be donated. The foundation aims to support projects in scientific research, public health, education and humanitarian aid both in Germany and internationally.","{'label': 'Neutral', 'score': 0.9997835755348206}",neutral,0.9997835755348206,0
